Expert_ID,Expert_type,Q_ID,Q5th,Q50th,Q95th
103,Expert,QI_150,0.0001,7,15.18181818
103,Expert,QI_151,0.0001,0.0001,0.18
103,Expert,QI_152,0.0001,0.0001,0.18
103,Expert,QI_153,0.0001,15,31.36363636
103,Expert,QI_154,0.0001,0.2,0.74
103,Expert,QI_155,0.0001,0.25,1.6
103,Expert,QI_156,0.0001,7,20.09090909
103,Expert,QI_157,0.0001,5,14
103,Expert,QI_158,0.0001,1,6.4
103,Expert,QI_159,0.0001,3,6.6
103,Expert,QI_160,0.0001,40,48.18181818
103,Expert,QI_161,0.0001,40,58
104,Expert,CAL_3,285.7142857,350,414.2857143
104,Expert,CAL_7,293.75,350,406.25
104,Expert,CAL_8,293.75,350,406.25
104,Expert,CAL_9,293.75,350,406.25
104,Expert,CAL_11,350,400,450
104,Expert,CAL_13,275,350,425
104,Expert,CAL_14,150,600,1050
104,Expert,CAL_15,181.25,350,518.75
104,Expert,CAL_16,0.0001,65,87.5
104,Expert,CAL_17,0.0001,5,30.71428571
104,Expert,CAL_19,5,20,95
104,Expert,CAL_20,0.0001,15,52.5
104,Expert,CAL_21,5,20,65
104,Expert,CAL_25,0.0001,30,75
104,Expert,CAL_27,0.0001,40,85
104,Expert,QI_31,24.375,30,91.875
104,Expert,QI_32,1,8,20
104,Expert,QI_33,0.0001,5,32
104,Expert,QI_34,0.0001,2,6.5
104,Expert,QI_35,1.375,7,21.625
104,Expert,QI_36,2.5,25,99.9999
104,Expert,QI_37,0.0001,15,60
104,Expert,QI_38,0.0001,3,8.142857143
104,Expert,QI_39,0.0001,3,18.42857143
104,Expert,QI_40,0.0001,5,32
104,Expert,QI_41,1.375,7,10.375
104,Expert,QI_42,0.0001,5,12.5
104,Expert,QI_43,0.0001,5,27.5
104,Expert,QI_44,0.0001,45,95.625
104,Expert,QI_45,0.0001,10,26.875
104,Expert,QI_46,0.625,40,79.375
104,Expert,QI_47,0.0001,5,12.5
104,Expert,QI_48,0.0001,10,32.5
104,Expert,QI_49,0.0001,15,37.5
104,Expert,QI_50,0.0001,5,17
104,Expert,QI_51,12.5,35,96.875
104,Expert,QI_52,0.0001,3,17.4
104,Expert,QI_53,0.0001,5,32
104,Expert,QI_54,0.0001,1,4
104,Expert,QI_55,0.0001,6,17.57142857
104,Expert,QI_56,0.0001,35,99.9999
